"","method","Nt","p0","p1","miss0","miss1"
"137","CB",200,0.7,0.7,0.4,0.4
"138","CB",200,0.7,0.7,0.4,0.5
"139","CB",200,0.7,0.7,0.5,0
"140","CB",200,0.7,0.7,0.5,0.1
"141","CB",200,0.7,0.7,0.5,0.2
"142","CB",200,0.7,0.7,0.5,0.3
"143","CB",200,0.7,0.7,0.5,0.4
"144","CB",200,0.7,0.7,0.5,0.5
"145","CB",200,0.9,0.9,0,0
"146","CB",200,0.9,0.9,0,0.1
"147","CB",200,0.9,0.9,0,0.2
"148","CB",200,0.9,0.9,0,0.3
"149","CB",200,0.9,0.9,0,0.4
"150","CB",200,0.9,0.9,0,0.5
"151","CB",200,0.9,0.9,0.1,0
"152","CB",200,0.9,0.9,0.1,0.1
"153","CB",200,0.9,0.9,0.1,0.2
"154","CB",200,0.9,0.9,0.1,0.3
"155","CB",200,0.9,0.9,0.1,0.4
"156","CB",200,0.9,0.9,0.1,0.5
"157","CB",200,0.9,0.9,0.2,0
"158","CB",200,0.9,0.9,0.2,0.1
"159","CB",200,0.9,0.9,0.2,0.2
"160","CB",200,0.9,0.9,0.2,0.3
"161","CB",200,0.9,0.9,0.2,0.4
"162","CB",200,0.9,0.9,0.2,0.5
"163","CB",200,0.9,0.9,0.3,0
"164","CB",200,0.9,0.9,0.3,0.1
"165","CB",200,0.9,0.9,0.3,0.2
"166","CB",200,0.9,0.9,0.3,0.3
"167","CB",200,0.9,0.9,0.3,0.4
"168","CB",200,0.9,0.9,0.3,0.5
"169","CB",200,0.9,0.9,0.4,0
"170","CB",200,0.9,0.9,0.4,0.1
"171","CB",200,0.9,0.9,0.4,0.2
"172","CB",200,0.9,0.9,0.4,0.3
"173","CB",200,0.9,0.9,0.4,0.4
"174","CB",200,0.9,0.9,0.4,0.5
"175","CB",200,0.9,0.9,0.5,0
"176","CB",200,0.9,0.9,0.5,0.1
"177","CB",200,0.9,0.9,0.5,0.2
"178","CB",200,0.9,0.9,0.5,0.3
"179","CB",200,0.9,0.9,0.5,0.4
"180","CB",200,0.9,0.9,0.5,0.5
"181","CB",526,0.1,0.2,0,0
"182","CB",526,0.1,0.2,0,0.1
"183","CB",526,0.1,0.2,0,0.2
"184","CB",526,0.1,0.2,0,0.3
"185","CB",526,0.1,0.2,0,0.4
"186","CB",526,0.1,0.2,0,0.5
"187","CB",526,0.1,0.2,0.1,0
"188","CB",526,0.1,0.2,0.1,0.1
"189","CB",526,0.1,0.2,0.1,0.2
"190","CB",526,0.1,0.2,0.1,0.3
"191","CB",526,0.1,0.2,0.1,0.4
"192","CB",526,0.1,0.2,0.1,0.5
"193","CB",526,0.1,0.2,0.2,0
"194","CB",526,0.1,0.2,0.2,0.1
"195","CB",526,0.1,0.2,0.2,0.2
"196","CB",526,0.1,0.2,0.2,0.3
"197","CB",526,0.1,0.2,0.2,0.4
"198","CB",526,0.1,0.2,0.2,0.5
"199","CB",526,0.1,0.2,0.3,0
"200","CB",526,0.1,0.2,0.3,0.1
"201","CB",526,0.1,0.2,0.3,0.2
"202","CB",526,0.1,0.2,0.3,0.3
"203","CB",526,0.1,0.2,0.3,0.4
"204","CB",526,0.1,0.2,0.3,0.5
"205","CB",526,0.1,0.2,0.4,0
"206","CB",526,0.1,0.2,0.4,0.1
"207","CB",526,0.1,0.2,0.4,0.2
"208","CB",526,0.1,0.2,0.4,0.3
"209","CB",526,0.1,0.2,0.4,0.4
"210","CB",526,0.1,0.2,0.4,0.5
"211","CB",526,0.1,0.2,0.5,0
"212","CB",526,0.1,0.2,0.5,0.1
"213","CB",526,0.1,0.2,0.5,0.2
"214","CB",526,0.1,0.2,0.5,0.3
"215","CB",526,0.1,0.2,0.5,0.4
"216","CB",526,0.1,0.2,0.5,0.5
"217","CB",162,0.1,0.3,0,0
"218","CB",162,0.1,0.3,0,0.1
"219","CB",162,0.1,0.3,0,0.2
"220","CB",162,0.1,0.3,0,0.3
"221","CB",162,0.1,0.3,0,0.4
"222","CB",162,0.1,0.3,0,0.5
"223","CB",162,0.1,0.3,0.1,0
"224","CB",162,0.1,0.3,0.1,0.1
"225","CB",162,0.1,0.3,0.1,0.2
"226","CB",162,0.1,0.3,0.1,0.3
"227","CB",162,0.1,0.3,0.1,0.4
"228","CB",162,0.1,0.3,0.1,0.5
"229","CB",162,0.1,0.3,0.2,0
"230","CB",162,0.1,0.3,0.2,0.1
"231","CB",162,0.1,0.3,0.2,0.2
"232","CB",162,0.1,0.3,0.2,0.3
"233","CB",162,0.1,0.3,0.2,0.4
"234","CB",162,0.1,0.3,0.2,0.5
"235","CB",162,0.1,0.3,0.3,0
"236","CB",162,0.1,0.3,0.3,0.1
"237","CB",162,0.1,0.3,0.3,0.2
"238","CB",162,0.1,0.3,0.3,0.3
"239","CB",162,0.1,0.3,0.3,0.4
"240","CB",162,0.1,0.3,0.3,0.5
"241","CB",162,0.1,0.3,0.4,0
"242","CB",162,0.1,0.3,0.4,0.1
"243","CB",162,0.1,0.3,0.4,0.2
"244","CB",162,0.1,0.3,0.4,0.3
"245","CB",162,0.1,0.3,0.4,0.4
"246","CB",162,0.1,0.3,0.4,0.5
"247","CB",162,0.1,0.3,0.5,0
"248","CB",162,0.1,0.3,0.5,0.1
"249","CB",162,0.1,0.3,0.5,0.2
"250","CB",162,0.1,0.3,0.5,0.3
"251","CB",162,0.1,0.3,0.5,0.4
"252","CB",162,0.1,0.3,0.5,0.5
"253","CB",82,0.1,0.4,0,0
"254","CB",82,0.1,0.4,0,0.1
"255","CB",82,0.1,0.4,0,0.2
"256","CB",82,0.1,0.4,0,0.3
"257","CB",82,0.1,0.4,0,0.4
"258","CB",82,0.1,0.4,0,0.5
"259","CB",82,0.1,0.4,0.1,0
"260","CB",82,0.1,0.4,0.1,0.1
"261","CB",82,0.1,0.4,0.1,0.2
"262","CB",82,0.1,0.4,0.1,0.3
"263","CB",82,0.1,0.4,0.1,0.4
"264","CB",82,0.1,0.4,0.1,0.5
"265","CB",82,0.1,0.4,0.2,0
"266","CB",82,0.1,0.4,0.2,0.1
"267","CB",82,0.1,0.4,0.2,0.2
"268","CB",82,0.1,0.4,0.2,0.3
"269","CB",82,0.1,0.4,0.2,0.4
"270","CB",82,0.1,0.4,0.2,0.5
"271","CB",82,0.1,0.4,0.3,0
"272","CB",82,0.1,0.4,0.3,0.1
"273","CB",82,0.1,0.4,0.3,0.2
"274","CB",82,0.1,0.4,0.3,0.3
"275","CB",82,0.1,0.4,0.3,0.4
"276","CB",82,0.1,0.4,0.3,0.5
"277","CB",82,0.1,0.4,0.4,0
"278","CB",82,0.1,0.4,0.4,0.1
"279","CB",82,0.1,0.4,0.4,0.2
"280","CB",82,0.1,0.4,0.4,0.3
"281","CB",82,0.1,0.4,0.4,0.4
"282","CB",82,0.1,0.4,0.4,0.5
"283","CB",82,0.1,0.4,0.5,0
"284","CB",82,0.1,0.4,0.5,0.1
"285","CB",82,0.1,0.4,0.5,0.2
"286","CB",82,0.1,0.4,0.5,0.3
"287","CB",82,0.1,0.4,0.5,0.4
"288","CB",82,0.1,0.4,0.5,0.5
"289","CB",254,0.4,0.6,0,0
"290","CB",254,0.4,0.6,0,0.1
"291","CB",254,0.4,0.6,0,0.2
"292","CB",254,0.4,0.6,0,0.3
"293","CB",254,0.4,0.6,0,0.4
"294","CB",254,0.4,0.6,0,0.5
"295","CB",254,0.4,0.6,0.1,0
"296","CB",254,0.4,0.6,0.1,0.1
"297","CB",254,0.4,0.6,0.1,0.2
"298","CB",254,0.4,0.6,0.1,0.3
"299","CB",254,0.4,0.6,0.1,0.4
"300","CB",254,0.4,0.6,0.1,0.5
"301","CB",254,0.4,0.6,0.2,0
"302","CB",254,0.4,0.6,0.2,0.1
"303","CB",254,0.4,0.6,0.2,0.2
"304","CB",254,0.4,0.6,0.2,0.3
"305","CB",254,0.4,0.6,0.2,0.4
"306","CB",254,0.4,0.6,0.2,0.5
"307","CB",254,0.4,0.6,0.3,0
"308","CB",254,0.4,0.6,0.3,0.1
"309","CB",254,0.4,0.6,0.3,0.2
"310","CB",254,0.4,0.6,0.3,0.3
"311","CB",254,0.4,0.6,0.3,0.4
"312","CB",254,0.4,0.6,0.3,0.5
"313","CB",254,0.4,0.6,0.4,0
"314","CB",254,0.4,0.6,0.4,0.1
"315","CB",254,0.4,0.6,0.4,0.2
"316","CB",254,0.4,0.6,0.4,0.3
"317","CB",254,0.4,0.6,0.4,0.4
"318","CB",254,0.4,0.6,0.4,0.5
"319","CB",254,0.4,0.6,0.5,0
"320","CB",254,0.4,0.6,0.5,0.1
"321","CB",254,0.4,0.6,0.5,0.2
"322","CB",254,0.4,0.6,0.5,0.3
"323","CB",254,0.4,0.6,0.5,0.4
"324","CB",254,0.4,0.6,0.5,0.5
"325","CB",82,0.6,0.9,0,0
"326","CB",82,0.6,0.9,0,0.1
"327","CB",82,0.6,0.9,0,0.2
"328","CB",82,0.6,0.9,0,0.3
"329","CB",82,0.6,0.9,0,0.4
"330","CB",82,0.6,0.9,0,0.5
"331","CB",82,0.6,0.9,0.1,0
"332","CB",82,0.6,0.9,0.1,0.1
"333","CB",82,0.6,0.9,0.1,0.2
"334","CB",82,0.6,0.9,0.1,0.3
"335","CB",82,0.6,0.9,0.1,0.4
"336","CB",82,0.6,0.9,0.1,0.5
"337","CB",82,0.6,0.9,0.2,0
"338","CB",82,0.6,0.9,0.2,0.1
"339","CB",82,0.6,0.9,0.2,0.2
"340","CB",82,0.6,0.9,0.2,0.3
"341","CB",82,0.6,0.9,0.2,0.4
"342","CB",82,0.6,0.9,0.2,0.5
"343","CB",82,0.6,0.9,0.3,0
"344","CB",82,0.6,0.9,0.3,0.1
"345","CB",82,0.6,0.9,0.3,0.2
"346","CB",82,0.6,0.9,0.3,0.3
"347","CB",82,0.6,0.9,0.3,0.4
"348","CB",82,0.6,0.9,0.3,0.5
"349","CB",82,0.6,0.9,0.4,0
"350","CB",82,0.6,0.9,0.4,0.1
"351","CB",82,0.6,0.9,0.4,0.2
"352","CB",82,0.6,0.9,0.4,0.3
"353","CB",82,0.6,0.9,0.4,0.4
"354","CB",82,0.6,0.9,0.4,0.5
"355","CB",82,0.6,0.9,0.5,0
"356","CB",82,0.6,0.9,0.5,0.1
"357","CB",82,0.6,0.9,0.5,0.2
"358","CB",82,0.6,0.9,0.5,0.3
"359","CB",82,0.6,0.9,0.5,0.4
"360","CB",82,0.6,0.9,0.5,0.5
"361","CB",162,0.7,0.9,0,0
"362","CB",162,0.7,0.9,0,0.1
"363","CB",162,0.7,0.9,0,0.2
"364","CB",162,0.7,0.9,0,0.3
"365","CB",162,0.7,0.9,0,0.4
"366","CB",162,0.7,0.9,0,0.5
"367","CB",162,0.7,0.9,0.1,0
"368","CB",162,0.7,0.9,0.1,0.1
"369","CB",162,0.7,0.9,0.1,0.2
"370","CB",162,0.7,0.9,0.1,0.3
"371","CB",162,0.7,0.9,0.1,0.4
"372","CB",162,0.7,0.9,0.1,0.5
"373","CB",162,0.7,0.9,0.2,0
"374","CB",162,0.7,0.9,0.2,0.1
"375","CB",162,0.7,0.9,0.2,0.2
"376","CB",162,0.7,0.9,0.2,0.3
"377","CB",162,0.7,0.9,0.2,0.4
"378","CB",162,0.7,0.9,0.2,0.5
"379","CB",162,0.7,0.9,0.3,0
"380","CB",162,0.7,0.9,0.3,0.1
"381","CB",162,0.7,0.9,0.3,0.2
"382","CB",162,0.7,0.9,0.3,0.3
"383","CB",162,0.7,0.9,0.3,0.4
"384","CB",162,0.7,0.9,0.3,0.5
"385","CB",162,0.7,0.9,0.4,0
"386","CB",162,0.7,0.9,0.4,0.1
"387","CB",162,0.7,0.9,0.4,0.2
"388","CB",162,0.7,0.9,0.4,0.3
"389","CB",162,0.7,0.9,0.4,0.4
"390","CB",162,0.7,0.9,0.4,0.5
"391","CB",162,0.7,0.9,0.5,0
"392","CB",162,0.7,0.9,0.5,0.1
"393","CB",162,0.7,0.9,0.5,0.2
"394","CB",162,0.7,0.9,0.5,0.3
"395","CB",162,0.7,0.9,0.5,0.4
"396","CB",162,0.7,0.9,0.5,0.5
"397","CB",526,0.8,0.9,0,0
"398","CB",526,0.8,0.9,0,0.1
"399","CB",526,0.8,0.9,0,0.2
"400","CB",526,0.8,0.9,0,0.3
"401","CB",526,0.8,0.9,0,0.4
"402","CB",526,0.8,0.9,0,0.5
"403","CB",526,0.8,0.9,0.1,0
"404","CB",526,0.8,0.9,0.1,0.1
"405","CB",526,0.8,0.9,0.1,0.2
"406","CB",526,0.8,0.9,0.1,0.3
"407","CB",526,0.8,0.9,0.1,0.4
"408","CB",526,0.8,0.9,0.1,0.5
"409","CB",526,0.8,0.9,0.2,0
"410","CB",526,0.8,0.9,0.2,0.1
"411","CB",526,0.8,0.9,0.2,0.2
"412","CB",526,0.8,0.9,0.2,0.3
"413","CB",526,0.8,0.9,0.2,0.4
"414","CB",526,0.8,0.9,0.2,0.5
"415","CB",526,0.8,0.9,0.3,0
"416","CB",526,0.8,0.9,0.3,0.1
"417","CB",526,0.8,0.9,0.3,0.2
"418","CB",526,0.8,0.9,0.3,0.3
"419","CB",526,0.8,0.9,0.3,0.4
"420","CB",526,0.8,0.9,0.3,0.5
"421","CB",526,0.8,0.9,0.4,0
"422","CB",526,0.8,0.9,0.4,0.1
"423","CB",526,0.8,0.9,0.4,0.2
"424","CB",526,0.8,0.9,0.4,0.3
"425","CB",526,0.8,0.9,0.4,0.4
"426","CB",526,0.8,0.9,0.4,0.5
"427","CB",526,0.8,0.9,0.5,0
"428","CB",526,0.8,0.9,0.5,0.1
"429","CB",526,0.8,0.9,0.5,0.2
"430","CB",526,0.8,0.9,0.5,0.3
"431","CB",526,0.8,0.9,0.5,0.4
"432","CB",526,0.8,0.9,0.5,0.5
"433","GI",200,0.1,0.1,0,0
"434","GI",200,0.1,0.1,0,0.1
"435","GI",200,0.1,0.1,0,0.2
"436","GI",200,0.1,0.1,0,0.3
"437","GI",200,0.1,0.1,0,0.4
"438","GI",200,0.1,0.1,0,0.5
"439","GI",200,0.1,0.1,0.1,0
"440","GI",200,0.1,0.1,0.1,0.1
"441","GI",200,0.1,0.1,0.1,0.2
"442","GI",200,0.1,0.1,0.1,0.3
"443","GI",200,0.1,0.1,0.1,0.4
"444","GI",200,0.1,0.1,0.1,0.5
"445","GI",200,0.1,0.1,0.2,0
"446","GI",200,0.1,0.1,0.2,0.1
"447","GI",200,0.1,0.1,0.2,0.2
"448","GI",200,0.1,0.1,0.2,0.3
"449","GI",200,0.1,0.1,0.2,0.4
"450","GI",200,0.1,0.1,0.2,0.5
"451","GI",200,0.1,0.1,0.3,0
"452","GI",200,0.1,0.1,0.3,0.1
"453","GI",200,0.1,0.1,0.3,0.2
"454","GI",200,0.1,0.1,0.3,0.3
"455","GI",200,0.1,0.1,0.3,0.4
"456","GI",200,0.1,0.1,0.3,0.5
"457","GI",200,0.1,0.1,0.4,0
"458","GI",200,0.1,0.1,0.4,0.1
"459","GI",200,0.1,0.1,0.4,0.2
"460","GI",200,0.1,0.1,0.4,0.3
"461","GI",200,0.1,0.1,0.4,0.4
"462","GI",200,0.1,0.1,0.4,0.5
"463","GI",200,0.1,0.1,0.5,0
"464","GI",200,0.1,0.1,0.5,0.1
"465","GI",200,0.1,0.1,0.5,0.2
"466","GI",200,0.1,0.1,0.5,0.3
"467","GI",200,0.1,0.1,0.5,0.4
"468","GI",200,0.1,0.1,0.5,0.5
"469","GI",200,0.3,0.3,0,0
"470","GI",200,0.3,0.3,0,0.1
"471","GI",200,0.3,0.3,0,0.2
"472","GI",200,0.3,0.3,0,0.3
"473","GI",200,0.3,0.3,0,0.4
"474","GI",200,0.3,0.3,0,0.5
"475","GI",200,0.3,0.3,0.1,0
"476","GI",200,0.3,0.3,0.1,0.1
"477","GI",200,0.3,0.3,0.1,0.2
"478","GI",200,0.3,0.3,0.1,0.3
"479","GI",200,0.3,0.3,0.1,0.4
"480","GI",200,0.3,0.3,0.1,0.5
"481","GI",200,0.3,0.3,0.2,0
"482","GI",200,0.3,0.3,0.2,0.1
"483","GI",200,0.3,0.3,0.2,0.2
"484","GI",200,0.3,0.3,0.2,0.3
"485","GI",200,0.3,0.3,0.2,0.4
"486","GI",200,0.3,0.3,0.2,0.5
"487","GI",200,0.3,0.3,0.3,0
"488","GI",200,0.3,0.3,0.3,0.1
"489","GI",200,0.3,0.3,0.3,0.2
