"","method","Nt","p0","p1","miss0","miss1"
"137","TS",200,0.7,0.7,0.4,0.4
"138","TS",200,0.7,0.7,0.4,0.5
"139","TS",200,0.7,0.7,0.5,0
"140","TS",200,0.7,0.7,0.5,0.1
"141","TS",200,0.7,0.7,0.5,0.2
"142","TS",200,0.7,0.7,0.5,0.3
"143","TS",200,0.7,0.7,0.5,0.4
"144","TS",200,0.7,0.7,0.5,0.5
"145","TS",200,0.9,0.9,0,0
"146","TS",200,0.9,0.9,0,0.1
"147","TS",200,0.9,0.9,0,0.2
"148","TS",200,0.9,0.9,0,0.3
"149","TS",200,0.9,0.9,0,0.4
"150","TS",200,0.9,0.9,0,0.5
"151","TS",200,0.9,0.9,0.1,0
"152","TS",200,0.9,0.9,0.1,0.1
"153","TS",200,0.9,0.9,0.1,0.2
"154","TS",200,0.9,0.9,0.1,0.3
"155","TS",200,0.9,0.9,0.1,0.4
"156","TS",200,0.9,0.9,0.1,0.5
"157","TS",200,0.9,0.9,0.2,0
"158","TS",200,0.9,0.9,0.2,0.1
"159","TS",200,0.9,0.9,0.2,0.2
"160","TS",200,0.9,0.9,0.2,0.3
"161","TS",200,0.9,0.9,0.2,0.4
"162","TS",200,0.9,0.9,0.2,0.5
"163","TS",200,0.9,0.9,0.3,0
"164","TS",200,0.9,0.9,0.3,0.1
"165","TS",200,0.9,0.9,0.3,0.2
"166","TS",200,0.9,0.9,0.3,0.3
"167","TS",200,0.9,0.9,0.3,0.4
"168","TS",200,0.9,0.9,0.3,0.5
"169","TS",200,0.9,0.9,0.4,0
"170","TS",200,0.9,0.9,0.4,0.1
"171","TS",200,0.9,0.9,0.4,0.2
"172","TS",200,0.9,0.9,0.4,0.3
"173","TS",200,0.9,0.9,0.4,0.4
"174","TS",200,0.9,0.9,0.4,0.5
"175","TS",200,0.9,0.9,0.5,0
"176","TS",200,0.9,0.9,0.5,0.1
"177","TS",200,0.9,0.9,0.5,0.2
"178","TS",200,0.9,0.9,0.5,0.3
"179","TS",200,0.9,0.9,0.5,0.4
"180","TS",200,0.9,0.9,0.5,0.5
"181","TS",526,0.1,0.2,0,0
"182","TS",526,0.1,0.2,0,0.1
"183","TS",526,0.1,0.2,0,0.2
"184","TS",526,0.1,0.2,0,0.3
"185","TS",526,0.1,0.2,0,0.4
"186","TS",526,0.1,0.2,0,0.5
"187","TS",526,0.1,0.2,0.1,0
"188","TS",526,0.1,0.2,0.1,0.1
"189","TS",526,0.1,0.2,0.1,0.2
"190","TS",526,0.1,0.2,0.1,0.3
"191","TS",526,0.1,0.2,0.1,0.4
"192","TS",526,0.1,0.2,0.1,0.5
"193","TS",526,0.1,0.2,0.2,0
"194","TS",526,0.1,0.2,0.2,0.1
"195","TS",526,0.1,0.2,0.2,0.2
"196","TS",526,0.1,0.2,0.2,0.3
"197","TS",526,0.1,0.2,0.2,0.4
"198","TS",526,0.1,0.2,0.2,0.5
"199","TS",526,0.1,0.2,0.3,0
"200","TS",526,0.1,0.2,0.3,0.1
"201","TS",526,0.1,0.2,0.3,0.2
"202","TS",526,0.1,0.2,0.3,0.3
"203","TS",526,0.1,0.2,0.3,0.4
"204","TS",526,0.1,0.2,0.3,0.5
"205","TS",526,0.1,0.2,0.4,0
"206","TS",526,0.1,0.2,0.4,0.1
"207","TS",526,0.1,0.2,0.4,0.2
"208","TS",526,0.1,0.2,0.4,0.3
"209","TS",526,0.1,0.2,0.4,0.4
"210","TS",526,0.1,0.2,0.4,0.5
"211","TS",526,0.1,0.2,0.5,0
"212","TS",526,0.1,0.2,0.5,0.1
"213","TS",526,0.1,0.2,0.5,0.2
"214","TS",526,0.1,0.2,0.5,0.3
"215","TS",526,0.1,0.2,0.5,0.4
"216","TS",526,0.1,0.2,0.5,0.5
"217","TS",162,0.1,0.3,0,0
"218","TS",162,0.1,0.3,0,0.1
"219","TS",162,0.1,0.3,0,0.2
"220","TS",162,0.1,0.3,0,0.3
"221","TS",162,0.1,0.3,0,0.4
"222","TS",162,0.1,0.3,0,0.5
"223","TS",162,0.1,0.3,0.1,0
"224","TS",162,0.1,0.3,0.1,0.1
"225","TS",162,0.1,0.3,0.1,0.2
"226","TS",162,0.1,0.3,0.1,0.3
"227","TS",162,0.1,0.3,0.1,0.4
"228","TS",162,0.1,0.3,0.1,0.5
"229","TS",162,0.1,0.3,0.2,0
"230","TS",162,0.1,0.3,0.2,0.1
"231","TS",162,0.1,0.3,0.2,0.2
"232","TS",162,0.1,0.3,0.2,0.3
"233","TS",162,0.1,0.3,0.2,0.4
"234","TS",162,0.1,0.3,0.2,0.5
