"","method","Nt","p0","p1","miss0","miss1","pstar1","pstar1_se","scenario"
"82","CB",200,0.5,0.5,0.1,0.3,0.488583,0.480029582370707,3
"83","CB",200,0.5,0.5,0.1,0.4,0.478061,0.478175888661327,3
"84","CB",200,0.5,0.5,0.1,0.5,0.4690405,0.478698273512091,3
"85","CB",200,0.5,0.5,0.2,0,0.511702,0.479948307876821,3
"86","CB",200,0.5,0.5,0.2,0.1,0.497315,0.479736188395295,3
"87","CB",200,0.5,0.5,0.2,0.2,0.4984795,0.479380528545815,3
"88","CB",200,0.5,0.5,0.2,0.3,0.4888575,0.479403379163878,3
"89","CB",200,0.5,0.5,0.2,0.4,0.481517,0.478023821988443,3
"90","CB",200,0.5,0.5,0.2,0.5,0.47276,0.478960246462866,3
"91","CB",200,0.5,0.5,0.3,0,0.526021,0.479146768455733,3
"92","CB",200,0.5,0.5,0.3,0.1,0.5074685,0.479005160308436,3
"93","CB",200,0.5,0.5,0.3,0.2,0.5170735,0.479002940992535,3
"94","CB",200,0.5,0.5,0.3,0.3,0.491335,0.478910621424636,3
"95","CB",200,0.5,0.5,0.3,0.4,0.49831,0.479451130188076,3
"96","CB",200,0.5,0.5,0.3,0.5,0.4780515,0.479010460167463,3
"97","CB",200,0.5,0.5,0.4,0,0.525281,0.478695300747872,3
"98","CB",200,0.5,0.5,0.4,0.1,0.5272945,0.478458195660028,3
"99","CB",200,0.5,0.5,0.4,0.2,0.5158225,0.478926730382694,3
"100","CB",200,0.5,0.5,0.4,0.3,0.504043,0.479411188500817,3
"101","CB",200,0.5,0.5,0.4,0.4,0.4991545,0.479421460849911,3
"102","CB",200,0.5,0.5,0.4,0.5,0.4922815,0.478953026776046,3
"103","CB",200,0.5,0.5,0.5,0,0.5442355,0.477260401446452,3
"104","CB",200,0.5,0.5,0.5,0.1,0.533794,0.478087782061763,3
"105","CB",200,0.5,0.5,0.5,0.2,0.5283495,0.478624024099705,3
"106","CB",200,0.5,0.5,0.5,0.3,0.519517,0.479052962505283,3
"107","CB",200,0.5,0.5,0.5,0.4,0.500518,0.479324688381153,3
"108","CB",200,0.5,0.5,0.5,0.5,0.496307,0.479452687174578,3
"109","CB",200,0.7,0.7,0,0,0.499548,0.49430651886199,4
"110","CB",200,0.7,0.7,0,0.1,0.4909445,0.494208017515102,4
"111","CB",200,0.7,0.7,0,0.2,0.476731,0.493606111528548,4
"112","CB",200,0.7,0.7,0,0.3,0.458042,0.492241938937191,4
"113","CB",200,0.7,0.7,0,0.4,0.441008,0.490432050640687,4
"114","CB",200,0.7,0.7,0,0.5,0.424219,0.48777958949898,4
"115","CB",200,0.7,0.7,0.1,0,0.5133835,0.494298925317977,4
"116","CB",200,0.7,0.7,0.1,0.1,0.506029,0.494216740082343,4
"117","CB",200,0.7,0.7,0.1,0.2,0.489746,0.49411334760764,4
"118","CB",200,0.7,0.7,0.1,0.3,0.468251,0.493148690114915,4
"119","CB",200,0.7,0.7,0.1,0.4,0.462641,0.492647998396454,4
"120","CB",200,0.7,0.7,0.1,0.5,0.435637,0.489381664626258,4
"121","CB",200,0.7,0.7,0.2,0,0.52469,0.493622401444182,4
"122","CB",200,0.7,0.7,0.2,0.1,0.5168545,0.494045444690964,4
"123","CB",200,0.7,0.7,0.2,0.2,0.49874,0.494118055392906,4
"124","CB",200,0.7,0.7,0.2,0.3,0.4899685,0.494007192071463,4
"125","CB",200,0.7,0.7,0.2,0.4,0.4698615,0.492944041145159,4
"126","CB",200,0.7,0.7,0.2,0.5,0.443291,0.490102274370293,4
"127","CB",200,0.7,0.7,0.3,0,0.5452905,0.492049285498603,4
"128","CB",200,0.7,0.7,0.3,0.1,0.5261375,0.493536383066022,4
"129","CB",200,0.7,0.7,0.3,0.2,0.5122325,0.493907418346333,4
"130","CB",200,0.7,0.7,0.3,0.3,0.4977905,0.493817968717596,4
"131","CB",200,0.7,0.7,0.3,0.4,0.484081,0.493650923793784,4
"132","CB",200,0.7,0.7,0.3,0.5,0.4505325,0.491095811887452,4
"133","CB",200,0.7,0.7,0.4,0,0.5530965,0.490897048452084,4
"134","CB",200,0.7,0.7,0.4,0.1,0.543585,0.492027216577686,4
"135","CB",200,0.7,0.7,0.4,0.2,0.534139,0.492711345643687,4
"136","CB",200,0.7,0.7,0.4,0.3,0.521221,0.493178808032816,4
"137","CB",200,0.7,0.7,0.4,0.4,0.500921,0.493652216656728,4
"138","CB",200,0.7,0.7,0.4,0.5,0.485705,0.493068265665578,4
"139","CB",200,0.7,0.7,0.5,0,0.5762985,0.487821384697398,4
"140","CB",200,0.7,0.7,0.5,0.1,0.5659665,0.489187897292682,4
"141","CB",200,0.7,0.7,0.5,0.2,0.559933,0.49005013562343,4
"142","CB",200,0.7,0.7,0.5,0.3,0.5397925,0.491675771164438,4
"143","CB",200,0.7,0.7,0.5,0.4,0.5248195,0.492721632750672,4
"144","CB",200,0.7,0.7,0.5,0.5,0.504895,0.493075624354047,4
"145","CB",200,0.9,0.9,0,0,0.494264,0.498824458991426,5
"146","CB",200,0.9,0.9,0,0.1,0.486265,0.498591555412758,5
"147","CB",200,0.9,0.9,0,0.2,0.4590715,0.49697872607705,5
"148","CB",200,0.9,0.9,0,0.3,0.418914,0.491818187053826,5
"149","CB",200,0.9,0.9,0,0.4,0.402184,0.488592076650591,5
"150","CB",200,0.9,0.9,0,0.5,0.3736545,0.481727421121713,5
"151","CB",200,0.9,0.9,0.1,0,0.5252475,0.498157773562238,5
"152","CB",200,0.9,0.9,0.1,0.1,0.501939,0.498642426700708,5
"153","CB",200,0.9,0.9,0.1,0.2,0.4888135,0.498404901121865,5
"154","CB",200,0.9,0.9,0.1,0.3,0.442699,0.495042767983952,5
"155","CB",200,0.9,0.9,0.1,0.4,0.432411,0.493534081566782,5
"156","CB",200,0.9,0.9,0.1,0.5,0.4041585,0.48864307688067,5
"157","CB",200,0.9,0.9,0.2,0,0.542251,0.496844878691879,5
"158","CB",200,0.9,0.9,0.2,0.1,0.5275625,0.497687638376009,5
"159","CB",200,0.9,0.9,0.2,0.2,0.5021875,0.498444221561401,5
"160","CB",200,0.9,0.9,0.2,0.3,0.4724185,0.497435928143526,5
"161","CB",200,0.9,0.9,0.2,0.4,0.4503025,0.495615884031374,5
"162","CB",200,0.9,0.9,0.2,0.5,0.433318,0.493351269810408,5
"163","CB",200,0.9,0.9,0.3,0,0.5659145,0.494110813218375,5
"164","CB",200,0.9,0.9,0.3,0.1,0.543537,0.49650477976615,5
"165","CB",200,0.9,0.9,0.3,0.2,0.5288,0.497464488271986,5
"166","CB",200,0.9,0.9,0.3,0.3,0.5035255,0.498093759335588,5
"167","CB",200,0.9,0.9,0.3,0.4,0.476886,0.49738907064064,5
"168","CB",200,0.9,0.9,0.3,0.5,0.440883,0.494153138251094,5
"169","CB",200,0.9,0.9,0.4,0,0.594991,0.48924436728908,5
"170","CB",200,0.9,0.9,0.4,0.1,0.5740255,0.4926892297559,5
"171","CB",200,0.9,0.9,0.4,0.2,0.5518525,0.495403515538668,5
"172","CB",200,0.9,0.9,0.4,0.3,0.5202555,0.497465138855164,5
"173","CB",200,0.9,0.9,0.4,0.4,0.5022865,0.497674263333949,5
"174","CB",200,0.9,0.9,0.4,0.5,0.4713795,0.496588173903886,5
"175","CB",200,0.9,0.9,0.5,0,0.625622,0.481915233568347,5
"176","CB",200,0.9,0.9,0.5,0.1,0.6011895,0.487544210841953,5
"177","CB",200,0.9,0.9,0.5,0.2,0.5863755,0.490238496936071,5
"178","CB",200,0.9,0.9,0.5,0.3,0.5600475,0.493939108421304,5
"179","CB",200,0.9,0.9,0.5,0.4,0.539113,0.495924744660152,5
"180","CB",200,0.9,0.9,0.5,0.5,0.4907655,0.497043495816436,5
"181","CB",526,0.1,0.2,0,0,0.872261977186312,0.279562823588479,6
"182","CB",526,0.1,0.2,0,0.1,0.848347908745247,0.309412828063794,6
"183","CB",526,0.1,0.2,0,0.2,0.835432319391635,0.324259985099922,6
"184","CB",526,0.1,0.2,0,0.3,0.814134600760456,0.345416989400619,6
"185","CB",526,0.1,0.2,0,0.4,0.789311787072243,0.366958429972196,6
"186","CB",526,0.1,0.2,0,0.5,0.773883840304183,0.378750272940764,6
"187","CB",526,0.1,0.2,0.1,0,0.866805513307985,0.284117504050064,6
"188","CB",526,0.1,0.2,0.1,0.1,0.849694296577947,0.306427017463936,6
"189","CB",526,0.1,0.2,0.1,0.2,0.828591634980989,0.328435194987483,6
"190","CB",526,0.1,0.2,0.1,0.3,0.809943536121673,0.346895702525132,6
"191","CB",526,0.1,0.2,0.1,0.4,0.793039923954373,0.361618930188962,6
"192","CB",526,0.1,0.2,0.1,0.5,0.768509505703422,0.379736186312802,6
"193","CB",526,0.1,0.2,0.2,0,0.859488022813688,0.291753166951848,6
"194","CB",526,0.1,0.2,0.2,0.1,0.846448479087452,0.306682880485763,6
"195","CB",526,0.1,0.2,0.2,0.2,0.830827756653992,0.32342645807245,6
"196","CB",526,0.1,0.2,0.2,0.3,0.812311787072243,0.341389527145144,6
"197","CB",526,0.1,0.2,0.2,0.4,0.785763307984791,0.366474841242379,6
"198","CB",526,0.1,0.2,0.2,0.5,0.76758783269962,0.379618419318257,6
"199","CB",526,0.1,0.2,0.3,0,0.855068441064639,0.294044224983777,6
"200","CB",526,0.1,0.2,0.3,0.1,0.844931939163498,0.305063980240649,6
"201","CB",526,0.1,0.2,0.3,0.2,0.818592965779468,0.334531943655457,6
"202","CB",526,0.1,0.2,0.3,0.3,0.809170532319392,0.345089504716796,6
"203","CB",526,0.1,0.2,0.3,0.4,0.787082699619772,0.361765614837727,6
"204","CB",526,0.1,0.2,0.3,0.5,0.765839923954373,0.379154391450576,6
"205","CB",526,0.1,0.2,0.4,0,0.844472813688213,0.302875679114483,6
"206","CB",526,0.1,0.2,0.4,0.1,0.832078517110266,0.317186689714923,6
"207","CB",526,0.1,0.2,0.4,0.2,0.820099809885932,0.330064383229485,6
