"","method","Nt","p0","p1","miss0","miss1"
"131","RPW",200,0.7,0.7,0.3,0.4
"132","RPW",200,0.7,0.7,0.3,0.5
"133","RPW",200,0.7,0.7,0.4,0
"134","RPW",200,0.7,0.7,0.4,0.1
"135","RPW",200,0.7,0.7,0.4,0.2
"136","RPW",200,0.7,0.7,0.4,0.3
"137","RPW",200,0.7,0.7,0.4,0.4
"138","RPW",200,0.7,0.7,0.4,0.5
"139","RPW",200,0.7,0.7,0.5,0
"140","RPW",200,0.7,0.7,0.5,0.1
"141","RPW",200,0.7,0.7,0.5,0.2
"142","RPW",200,0.7,0.7,0.5,0.3
"143","RPW",200,0.7,0.7,0.5,0.4
"144","RPW",200,0.7,0.7,0.5,0.5
"145","RPW",200,0.9,0.9,0,0
"146","RPW",200,0.9,0.9,0,0.1
"147","RPW",200,0.9,0.9,0,0.2
"148","RPW",200,0.9,0.9,0,0.3
"149","RPW",200,0.9,0.9,0,0.4
"150","RPW",200,0.9,0.9,0,0.5
"151","RPW",200,0.9,0.9,0.1,0
"152","RPW",200,0.9,0.9,0.1,0.1
"153","RPW",200,0.9,0.9,0.1,0.2
"154","RPW",200,0.9,0.9,0.1,0.3
"155","RPW",200,0.9,0.9,0.1,0.4
"156","RPW",200,0.9,0.9,0.1,0.5
"157","RPW",200,0.9,0.9,0.2,0
"158","RPW",200,0.9,0.9,0.2,0.1
"159","RPW",200,0.9,0.9,0.2,0.2
"160","RPW",200,0.9,0.9,0.2,0.3
"161","RPW",200,0.9,0.9,0.2,0.4
"162","RPW",200,0.9,0.9,0.2,0.5
"163","RPW",200,0.9,0.9,0.3,0
"164","RPW",200,0.9,0.9,0.3,0.1
"165","RPW",200,0.9,0.9,0.3,0.2
"166","RPW",200,0.9,0.9,0.3,0.3
"167","RPW",200,0.9,0.9,0.3,0.4
"168","RPW",200,0.9,0.9,0.3,0.5
"169","RPW",200,0.9,0.9,0.4,0
"170","RPW",200,0.9,0.9,0.4,0.1
"171","RPW",200,0.9,0.9,0.4,0.2
"172","RPW",200,0.9,0.9,0.4,0.3
"173","RPW",200,0.9,0.9,0.4,0.4
"174","RPW",200,0.9,0.9,0.4,0.5
"175","RPW",200,0.9,0.9,0.5,0
"176","RPW",200,0.9,0.9,0.5,0.1
"177","RPW",200,0.9,0.9,0.5,0.2
