"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"70","RandUCB",200,0.3,0.3,0.5,0.3,0.865368657905066,0.0497738959034686,2
"71","RandUCB",200,0.3,0.3,0.5,0.4,0.865368657905066,0.0497738959034686,2
"72","RandUCB",200,0.3,0.3,0.5,0.5,0.865368657905066,0.0497738959034686,2
"73","RandUCB",200,0.5,0.5,0,0,0.865368657905066,0.0497738959034686,3
"74","RandUCB",200,0.5,0.5,0,0.1,0.865368657905066,0.0497738959034686,3
"75","RandUCB",200,0.5,0.5,0,0.2,0.865368657905066,0.0497738959034686,3
"76","RandUCB",200,0.5,0.5,0,0.3,0.865368657905066,0.0497738959034686,3
"77","RandUCB",200,0.5,0.5,0,0.4,0.865368657905066,0.0497738959034686,3
"78","RandUCB",200,0.5,0.5,0,0.5,0.865368657905066,0.0497738959034686,3
"79","RandUCB",200,0.5,0.5,0.1,0,0.865368657905066,0.0497738959034686,3
"80","RandUCB",200,0.5,0.5,0.1,0.1,0.865368657905066,0.0497738959034686,3
"81","RandUCB",200,0.5,0.5,0.1,0.2,0.865368657905066,0.0497738959034686,3
"82","RandUCB",200,0.5,0.5,0.1,0.3,0.865368657905066,0.0497738959034686,3
"83","RandUCB",200,0.5,0.5,0.1,0.4,0.865368657905066,0.0497738959034686,3
"84","RandUCB",200,0.5,0.5,0.1,0.5,0.865368657905066,0.0497738959034686,3
"85","RandUCB",200,0.5,0.5,0.2,0,0.865368657905066,0.0497738959034686,3
"86","RandUCB",200,0.5,0.5,0.2,0.1,0.865368657905066,0.0497738959034686,3
"87","RandUCB",200,0.5,0.5,0.2,0.2,0.865368657905066,0.0497738959034686,3
"88","RandUCB",200,0.5,0.5,0.2,0.3,0.865368657905066,0.0497738959034686,3
"89","RandUCB",200,0.5,0.5,0.2,0.4,0.865368657905066,0.0497738959034686,3
"90","RandUCB",200,0.5,0.5,0.2,0.5,0.865368657905066,0.0497738959034686,3
"91","RandUCB",200,0.5,0.5,0.3,0,0.865368657905066,0.0497738959034686,3
"92","RandUCB",200,0.5,0.5,0.3,0.1,0.865368657905066,0.0497738959034686,3
"93","RandUCB",200,0.5,0.5,0.3,0.2,0.865368657905066,0.0497738959034686,3
"94","RandUCB",200,0.5,0.5,0.3,0.3,0.865368657905066,0.0497738959034686,3
"95","RandUCB",200,0.5,0.5,0.3,0.4,0.865368657905066,0.0497738959034686,3
"96","RandUCB",200,0.5,0.5,0.3,0.5,0.865368657905066,0.0497738959034686,3
"97","RandUCB",200,0.5,0.5,0.4,0,0.865368657905066,0.0497738959034686,3
"98","RandUCB",200,0.5,0.5,0.4,0.1,0.865368657905066,0.0497738959034686,3
"99","RandUCB",200,0.5,0.5,0.4,0.2,0.865368657905066,0.0497738959034686,3
"100","RandUCB",200,0.5,0.5,0.4,0.3,0.865368657905066,0.0497738959034686,3
"101","RandUCB",200,0.5,0.5,0.4,0.4,0.865368657905066,0.0497738959034686,3
"102","RandUCB",200,0.5,0.5,0.4,0.5,0.865368657905066,0.0497738959034686,3
"103","RandUCB",200,0.5,0.5,0.5,0,0.865368657905066,0.0497738959034686,3
"104","RandUCB",200,0.5,0.5,0.5,0.1,0.865368657905066,0.0497738959034686,3
"105","RandUCB",200,0.5,0.5,0.5,0.2,0.865368657905066,0.0497738959034686,3
"106","RandUCB",200,0.5,0.5,0.5,0.3,0.865368657905066,0.0497738959034686,3
"107","RandUCB",200,0.5,0.5,0.5,0.4,0.865368657905066,0.0497738959034686,3
"108","RandUCB",200,0.5,0.5,0.5,0.5,0.865368657905066,0.0497738959034686,3
"109","RandUCB",200,0.7,0.7,0,0,0.865368657905066,0.0497738959034686,4
"110","RandUCB",200,0.7,0.7,0,0.1,0.865368657905066,0.0497738959034686,4
"111","RandUCB",200,0.7,0.7,0,0.2,0.865368657905066,0.0497738959034686,4
"112","RandUCB",200,0.7,0.7,0,0.3,0.865368657905066,0.0497738959034686,4
"113","RandUCB",200,0.7,0.7,0,0.4,0.865368657905066,0.0497738959034686,4
"114","RandUCB",200,0.7,0.7,0,0.5,0.865368657905066,0.0497738959034686,4
"115","RandUCB",200,0.7,0.7,0.1,0,0.865368657905066,0.0497738959034686,4
"116","RandUCB",200,0.7,0.7,0.1,0.1,0.865368657905066,0.0497738959034686,4
"117","RandUCB",200,0.7,0.7,0.1,0.2,0.865368657905066,0.0497738959034686,4
"118","RandUCB",200,0.7,0.7,0.1,0.3,0.865368657905066,0.0497738959034686,4
"119","RandUCB",200,0.7,0.7,0.1,0.4,0.865368657905066,0.0497738959034686,4
"120","RandUCB",200,0.7,0.7,0.1,0.5,0.865368657905066,0.0497738959034686,4
"121","RandUCB",200,0.7,0.7,0.2,0,0.865368657905066,0.0497738959034686,4
"122","RandUCB",200,0.7,0.7,0.2,0.1,0.865368657905066,0.0497738959034686,4
"123","RandUCB",200,0.7,0.7,0.2,0.2,0.865368657905066,0.0497738959034686,4
"124","RandUCB",200,0.7,0.7,0.2,0.3,0.865368657905066,0.0497738959034686,4
"125","RandUCB",200,0.7,0.7,0.2,0.4,0.865368657905066,0.0497738959034686,4
"126","RandUCB",200,0.7,0.7,0.2,0.5,0.865368657905066,0.0497738959034686,4
"127","RandUCB",200,0.7,0.7,0.3,0,0.865368657905066,0.0497738959034686,4
"128","RandUCB",200,0.7,0.7,0.3,0.1,0.865368657905066,0.0497738959034686,4
"129","RandUCB",200,0.7,0.7,0.3,0.2,0.865368657905066,0.0497738959034686,4
"130","RandUCB",200,0.7,0.7,0.3,0.3,0.865368657905066,0.0497738959034686,4
"131","RandUCB",200,0.7,0.7,0.3,0.4,0.865368657905066,0.0497738959034686,4
"132","RandUCB",200,0.7,0.7,0.3,0.5,0.865368657905066,0.0497738959034686,4
"133","RandUCB",200,0.7,0.7,0.4,0,0.865368657905066,0.0497738959034686,4
"134","RandUCB",200,0.7,0.7,0.4,0.1,0.865368657905066,0.0497738959034686,4
"135","RandUCB",200,0.7,0.7,0.4,0.2,0.865368657905066,0.0497738959034686,4
"136","RandUCB",200,0.7,0.7,0.4,0.3,0.865368657905066,0.0497738959034686,4
"137","RandUCB",200,0.7,0.7,0.4,0.4,0.865368657905066,0.0497738959034686,4
"138","RandUCB",200,0.7,0.7,0.4,0.5,0.865368657905066,0.0497738959034686,4
"139","RandUCB",200,0.7,0.7,0.5,0,0.865368657905066,0.0497738959034686,4
"140","RandUCB",200,0.7,0.7,0.5,0.1,0.865368657905066,0.0497738959034686,4
"141","RandUCB",200,0.7,0.7,0.5,0.2,0.865368657905066,0.0497738959034686,4
"142","RandUCB",200,0.7,0.7,0.5,0.3,0.865368657905066,0.0497738959034686,4
"143","RandUCB",200,0.7,0.7,0.5,0.4,0.865368657905066,0.0497738959034686,4
"144","RandUCB",200,0.7,0.7,0.5,0.5,0.865368657905066,0.0497738959034686,4
"145","RandUCB",200,0.9,0.9,0,0,0.865368657905066,0.0497738959034686,5
"146","RandUCB",200,0.9,0.9,0,0.1,0.865368657905066,0.0497738959034686,5
"147","RandUCB",200,0.9,0.9,0,0.2,0.865368657905066,0.0497738959034686,5
"148","RandUCB",200,0.9,0.9,0,0.3,0.865368657905066,0.0497738959034686,5
