"","method","Nt","p0","p1","miss0","miss1","POS","POS_se","scenario"
"1","TS",200,0.1,0.1,0,0,0.869462165739069,0.0228766353115648,1
"2","TS",200,0.1,0.1,0,0.1,0.869462165739069,0.0228766353115648,1
"3","TS",200,0.1,0.1,0,0.2,0.869462165739069,0.0228766353115648,1
"4","TS",200,0.1,0.1,0,0.3,0.869462165739069,0.0228766353115648,1
"5","TS",200,0.1,0.1,0,0.4,0.869462165739069,0.0228766353115648,1
"6","TS",200,0.1,0.1,0,0.5,0.869462165739069,0.0228766353115648,1
"7","TS",200,0.1,0.1,0.1,0,0.869462165739069,0.0228766353115648,1
"8","TS",200,0.1,0.1,0.1,0.1,0.869462165739069,0.0228766353115648,1
"9","TS",200,0.1,0.1,0.1,0.2,0.869462165739069,0.0228766353115648,1
"10","TS",200,0.1,0.1,0.1,0.3,0.869462165739069,0.0228766353115648,1
"11","TS",200,0.1,0.1,0.1,0.4,0.869462165739069,0.0228766353115648,1
"12","TS",200,0.1,0.1,0.1,0.5,0.869462165739069,0.0228766353115648,1
"13","TS",200,0.1,0.1,0.2,0,0.869462165739069,0.0228766353115648,1
"14","TS",200,0.1,0.1,0.2,0.1,0.869462165739069,0.0228766353115648,1
"15","TS",200,0.1,0.1,0.2,0.2,0.869462165739069,0.0228766353115648,1
"16","TS",200,0.1,0.1,0.2,0.3,0.869462165739069,0.0228766353115648,1
"17","TS",200,0.1,0.1,0.2,0.4,0.869462165739069,0.0228766353115648,1
"18","TS",200,0.1,0.1,0.2,0.5,0.869462165739069,0.0228766353115648,1
"19","TS",200,0.1,0.1,0.3,0,0.869462165739069,0.0228766353115648,1
"20","TS",200,0.1,0.1,0.3,0.1,0.869462165739069,0.0228766353115648,1
"21","TS",200,0.1,0.1,0.3,0.2,0.869462165739069,0.0228766353115648,1
"22","TS",200,0.1,0.1,0.3,0.3,0.869462165739069,0.0228766353115648,1
"23","TS",200,0.1,0.1,0.3,0.4,0.869462165739069,0.0228766353115648,1
"24","TS",200,0.1,0.1,0.3,0.5,0.869462165739069,0.0228766353115648,1
"25","TS",200,0.1,0.1,0.4,0,0.869462165739069,0.0228766353115648,1
"26","TS",200,0.1,0.1,0.4,0.1,0.869462165739069,0.0228766353115648,1
"27","TS",200,0.1,0.1,0.4,0.2,0.869462165739069,0.0228766353115648,1
"28","TS",200,0.1,0.1,0.4,0.3,0.869462165739069,0.0228766353115648,1
"29","TS",200,0.1,0.1,0.4,0.4,0.869462165739069,0.0228766353115648,1
"30","TS",200,0.1,0.1,0.4,0.5,0.869462165739069,0.0228766353115648,1
"31","TS",200,0.1,0.1,0.5,0,0.869462165739069,0.0228766353115648,1
"32","TS",200,0.1,0.1,0.5,0.1,0.869462165739069,0.0228766353115648,1
"33","TS",200,0.1,0.1,0.5,0.2,0.869462165739069,0.0228766353115648,1
"34","TS",200,0.1,0.1,0.5,0.3,0.869462165739069,0.0228766353115648,1
"35","TS",200,0.1,0.1,0.5,0.4,0.869462165739069,0.0228766353115648,1
"36","TS",200,0.1,0.1,0.5,0.5,0.869462165739069,0.0228766353115648,1
"37","TS",200,0.3,0.3,0,0,0.869462165739069,0.0228766353115648,2
"38","TS",200,0.3,0.3,0,0.1,0.869462165739069,0.0228766353115648,2
"39","TS",200,0.3,0.3,0,0.2,0.869462165739069,0.0228766353115648,2
"40","TS",200,0.3,0.3,0,0.3,0.869462165739069,0.0228766353115648,2
"41","TS",200,0.3,0.3,0,0.4,0.869462165739069,0.0228766353115648,2
"42","TS",200,0.3,0.3,0,0.5,0.869462165739069,0.0228766353115648,2
"43","TS",200,0.3,0.3,0.1,0,0.869462165739069,0.0228766353115648,2
"44","TS",200,0.3,0.3,0.1,0.1,0.869462165739069,0.0228766353115648,2
"45","TS",200,0.3,0.3,0.1,0.2,0.869462165739069,0.0228766353115648,2
"46","TS",200,0.3,0.3,0.1,0.3,0.869462165739069,0.0228766353115648,2
"47","TS",200,0.3,0.3,0.1,0.4,0.869462165739069,0.0228766353115648,2
"48","TS",200,0.3,0.3,0.1,0.5,0.869462165739069,0.0228766353115648,2
"49","TS",200,0.3,0.3,0.2,0,0.869462165739069,0.0228766353115648,2
"50","TS",200,0.3,0.3,0.2,0.1,0.869462165739069,0.0228766353115648,2
"51","TS",200,0.3,0.3,0.2,0.2,0.869462165739069,0.0228766353115648,2
"52","TS",200,0.3,0.3,0.2,0.3,0.869462165739069,0.0228766353115648,2
