"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"72","CB",200,0.3,0.3,0.5,0.5,-0.105621975113553,-0.104425684623487,2
"73","CB",200,0.5,0.5,0,0,-0.19322715760409,-0.181515888236928,3
"74","CB",200,0.5,0.5,0,0.1,-0.184026750494238,-0.188466392762554,3
"75","CB",200,0.5,0.5,0,0.2,-0.188625571054231,-0.187481105898006,3
"76","CB",200,0.5,0.5,0,0.3,-0.185570623829875,-0.189933696551233,3
"77","CB",200,0.5,0.5,0,0.4,-0.182989040741964,-0.194771753906406,3
"78","CB",200,0.5,0.5,0,0.5,-0.183338931609112,-0.189449487360736,3
"79","CB",200,0.5,0.5,0.1,0,-0.18921918436499,-0.187196459078057,3
"80","CB",200,0.5,0.5,0.1,0.1,-0.190178239785824,-0.189351541778408,3
"81","CB",200,0.5,0.5,0.1,0.2,-0.190278727538793,-0.18519966669652,3
"82","CB",200,0.5,0.5,0.1,0.3,-0.183353202709277,-0.191864876468982,3
"83","CB",200,0.5,0.5,0.1,0.4,-0.186342296460931,-0.189589242582168,3
"84","CB",200,0.5,0.5,0.1,0.5,-0.184725662432258,-0.190798867478538,3
"85","CB",200,0.5,0.5,0.2,0,-0.191803341755635,-0.184390232467851,3
"86","CB",200,0.5,0.5,0.2,0.1,-0.186971229115166,-0.189431868547746,3
"87","CB",200,0.5,0.5,0.2,0.2,-0.188560355123509,-0.185993580779634,3
"88","CB",200,0.5,0.5,0.2,0.3,-0.185555723113398,-0.190059276023532,3
"89","CB",200,0.5,0.5,0.2,0.4,-0.188855826942574,-0.187140666941853,3
"90","CB",200,0.5,0.5,0.2,0.5,-0.185259821131392,-0.191126445787681,3
"91","CB",200,0.5,0.5,0.3,0,-0.191907037043507,-0.183213674758513,3
"92","CB",200,0.5,0.5,0.3,0.1,-0.192389068332978,-0.188651011862619,3
"93","CB",200,0.5,0.5,0.3,0.2,-0.187979985355766,-0.188084827157345,3
"94","CB",200,0.5,0.5,0.3,0.3,-0.184922651673831,-0.187179603595929,3
"95","CB",200,0.5,0.5,0.3,0.4,-0.185986548033139,-0.185656215590176,3
"96","CB",200,0.5,0.5,0.3,0.5,-0.185592473683497,-0.18718832516576,3
"97","CB",200,0.5,0.5,0.4,0,-0.191803974696705,-0.186552224325674,3
"98","CB",200,0.5,0.5,0.4,0.1,-0.187057821723846,-0.187480770247075,3
"99","CB",200,0.5,0.5,0.4,0.2,-0.190436956118677,-0.184444677283685,3
"100","CB",200,0.5,0.5,0.4,0.3,-0.18656705468678,-0.186505642201634,3
"101","CB",200,0.5,0.5,0.4,0.4,-0.183937106575436,-0.187792868882034,3
"102","CB",200,0.5,0.5,0.4,0.5,-0.186491334280325,-0.186301230915955,3
"103","CB",200,0.5,0.5,0.5,0,-0.195583780558894,-0.178755125695537,3
"104","CB",200,0.5,0.5,0.5,0.1,-0.192324964874936,-0.183132752497315,3
"105","CB",200,0.5,0.5,0.5,0.2,-0.190255932131113,-0.182072436148652,3
"106","CB",200,0.5,0.5,0.5,0.3,-0.192598780815116,-0.178599784059097,3
"107","CB",200,0.5,0.5,0.5,0.4,-0.185336596139886,-0.183902587533087,3
"108","CB",200,0.5,0.5,0.5,0.5,-0.188088582167765,-0.183484245246402,3
"109","CB",200,0.7,0.7,0,0,-0.187791300308474,-0.189153291290181,4
"110","CB",200,0.7,0.7,0,0.1,-0.18927232844205,-0.190344581826454,4
"111","CB",200,0.7,0.7,0,0.2,-0.192900698698167,-0.199863217481692,4
"112","CB",200,0.7,0.7,0,0.3,-0.193951198050197,-0.186030332109972,4
"113","CB",200,0.7,0.7,0,0.4,-0.190718900933807,-0.190742618094094,4
"114","CB",200,0.7,0.7,0,0.5,-0.181939030139561,-0.190674744308041,4
"115","CB",200,0.7,0.7,0.1,0,-0.197857744649127,-0.183625719679254,4
"116","CB",200,0.7,0.7,0.1,0.1,-0.1929796884925,-0.192098718348611,4
"117","CB",200,0.7,0.7,0.1,0.2,-0.187063987392486,-0.195762340239533,4
"118","CB",200,0.7,0.7,0.1,0.3,-0.18875331193619,-0.195308120469095,4
"119","CB",200,0.7,0.7,0.1,0.4,-0.188621789397161,-0.193996378211752,4
"120","CB",200,0.7,0.7,0.1,0.5,-0.193574602982716,-0.181238872442064,4
"121","CB",200,0.7,0.7,0.2,0,-0.189565920931959,-0.193821042346456,4
"122","CB",200,0.7,0.7,0.2,0.1,-0.19415847866092,-0.190369942736613,4
"123","CB",200,0.7,0.7,0.2,0.2,-0.189366932555202,-0.193726840680901,4
"124","CB",200,0.7,0.7,0.2,0.3,-0.192759394862348,-0.190771782331939,4
"125","CB",200,0.7,0.7,0.2,0.4,-0.186760556248118,-0.193754692589729,4
"126","CB",200,0.7,0.7,0.2,0.5,-0.193556156048601,-0.18542208227475,4
"127","CB",200,0.7,0.7,0.3,0,-0.193383953470876,-0.19187457452223,4
"128","CB",200,0.7,0.7,0.3,0.1,-0.197839163139678,-0.186535671024891,4
"129","CB",200,0.7,0.7,0.3,0.2,-0.190065946330797,-0.19253653646408,4
"130","CB",200,0.7,0.7,0.3,0.3,-0.192107022747912,-0.190847767481466,4
"131","CB",200,0.7,0.7,0.3,0.4,-0.189947618050552,-0.194047729848673,4
"132","CB",200,0.7,0.7,0.3,0.5,-0.185956413446551,-0.199793881649862,4
"133","CB",200,0.7,0.7,0.4,0,-0.191912284990979,-0.189166208043575,4
"134","CB",200,0.7,0.7,0.4,0.1,-0.190119065117514,-0.18703877664044,4
"135","CB",200,0.7,0.7,0.4,0.2,-0.19885050047787,-0.183537403736415,4
"136","CB",200,0.7,0.7,0.4,0.3,-0.194388989612021,-0.189098864053881,4
"137","CB",200,0.7,0.7,0.4,0.4,-0.189689598669401,-0.193260312919533,4
"138","CB",200,0.7,0.7,0.4,0.5,-0.192467494456958,-0.186939305016972,4
"139","CB",200,0.7,0.7,0.5,0,-0.192166701474676,-0.192270108475665,4
"140","CB",200,0.7,0.7,0.5,0.1,-0.191334801545457,-0.191558215057246,4
"141","CB",200,0.7,0.7,0.5,0.2,-0.185463714537717,-0.194793088789726,4
"142","CB",200,0.7,0.7,0.5,0.3,-0.19138764535241,-0.192443347046958,4
"143","CB",200,0.7,0.7,0.5,0.4,-0.186254055965495,-0.19249805595382,4
"144","CB",200,0.7,0.7,0.5,0.5,-0.184322145341913,-0.191311795528864,4
"145","CB",200,0.9,0.9,0,0,-0.10159606463597,-0.0959202785718622,5
