"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"69","RPW",200,0.3,0.3,0.5,0.2,-0.00233418370770749,-0.00290763873304084,2
"70","RPW",200,0.3,0.3,0.5,0.3,-0.00171296185452191,-0.00184377368989913,2
"71","RPW",200,0.3,0.3,0.5,0.4,-0.00249529181924385,-0.00260040359917862,2
"72","RPW",200,0.3,0.3,0.5,0.5,-0.00481479296171639,-0.00349193670760861,2
"73","RPW",200,0.5,0.5,0,0,-0.00301916696657528,-0.00309593685020682,3
"74","RPW",200,0.5,0.5,0,0.1,-0.00310831726126071,-0.00212378790954226,3
"75","RPW",200,0.5,0.5,0,0.2,-0.00214761040430556,-0.00275118913171718,3
"76","RPW",200,0.5,0.5,0,0.3,-0.00207933665234084,-0.00324663537605208,3
"77","RPW",200,0.5,0.5,0,0.4,-0.0030253335522954,-0.001899851035078,3
"78","RPW",200,0.5,0.5,0,0.5,-0.00272095640436842,-0.00329926109588785,3
"79","RPW",200,0.5,0.5,0.1,0,-0.00218621695422622,-0.0027125894736818,3
"80","RPW",200,0.5,0.5,0.1,0.1,-0.00228916308558164,-0.00190238903804479,3
"81","RPW",200,0.5,0.5,0.1,0.2,-0.00320281175965159,-0.00180560237284516,3
"82","RPW",200,0.5,0.5,0.1,0.3,-0.00188342879658948,-0.00371089681750481,3
"83","RPW",200,0.5,0.5,0.1,0.4,-0.00136326935224423,-0.00465761097449785,3
"84","RPW",200,0.5,0.5,0.1,0.5,-0.00306182097691426,-0.00398287084366733,3
"85","RPW",200,0.5,0.5,0.2,0,-0.00290634477590401,-0.00258748292328759,3
"86","RPW",200,0.5,0.5,0.2,0.1,-0.00271996742144998,-0.00272129278274674,3
"87","RPW",200,0.5,0.5,0.2,0.2,-0.00329113992642477,-0.00316443296640573,3
"88","RPW",200,0.5,0.5,0.2,0.3,-0.00335734501097767,-0.00345625254402171,3
"89","RPW",200,0.5,0.5,0.2,0.4,-0.00379494392388313,-0.00170037369749487,3
