"","method","Nt","p0","p1","miss0","miss1","bias0","bias1","scenario"
"58","RandUCB",200,0.3,0.3,0.3,0.3,-0.0741264662899415,-0.0735128477686736,2
"59","RandUCB",200,0.3,0.3,0.3,0.4,-0.0735107458786158,-0.0758541626257956,2
"60","RandUCB",200,0.3,0.3,0.3,0.5,-0.07388558826563,-0.077144932850943,2
"61","RandUCB",200,0.3,0.3,0.4,0,-0.0746891023168449,-0.0740317025387465,2
"62","RandUCB",200,0.3,0.3,0.4,0.1,-0.0748629077524849,-0.0757151536884512,2
"63","RandUCB",200,0.3,0.3,0.4,0.2,-0.0760235317910606,-0.0730726304985412,2
"64","RandUCB",200,0.3,0.3,0.4,0.3,-0.0746543521203535,-0.0758817288892443,2
"65","RandUCB",200,0.3,0.3,0.4,0.4,-0.0774606027779691,-0.0739850023035006,2
"66","RandUCB",200,0.3,0.3,0.4,0.5,-0.0725406446870868,-0.0767789117171422,2
"67","RandUCB",200,0.3,0.3,0.5,0,-0.078140672041907,-0.0711310480808859,2
"68","RandUCB",200,0.3,0.3,0.5,0.1,-0.0766799818665676,-0.0736091317205027,2
"69","RandUCB",200,0.3,0.3,0.5,0.2,-0.0745953655318064,-0.0739059863587475,2
"70","RandUCB",200,0.3,0.3,0.5,0.3,-0.0771364752750976,-0.0730066311356773,2
"71","RandUCB",200,0.3,0.3,0.5,0.4,-0.0755197350345404,-0.0740176824144613,2
"72","RandUCB",200,0.3,0.3,0.5,0.5,-0.0778384746325324,-0.0741363798976879,2
"73","RandUCB",200,0.5,0.5,0,0,-0.142769446376165,-0.14691327172891,3
"74","RandUCB",200,0.5,0.5,0,0.1,-0.143807200277057,-0.149962646845897,3
"75","RandUCB",200,0.5,0.5,0,0.2,-0.145246082265889,-0.146393448527956,3
"76","RandUCB",200,0.5,0.5,0,0.3,-0.144128548704463,-0.148797400635644,3
"77","RandUCB",200,0.5,0.5,0,0.4,-0.139941902103196,-0.1549944068389,3
"78","RandUCB",200,0.5,0.5,0,0.5,-0.138848264886885,-0.153914501080391,3
"79","RandUCB",200,0.5,0.5,0.1,0,-0.148744163120746,-0.142994878342048,3
"80","RandUCB",200,0.5,0.5,0.1,0.1,-0.143077214183227,-0.151326695844389,3
"81","RandUCB",200,0.5,0.5,0.1,0.2,-0.1486270703562,-0.143589707082516,3
"82","RandUCB",200,0.5,0.5,0.1,0.3,-0.145358122295814,-0.149638467679694,3
"83","RandUCB",200,0.5,0.5,0.1,0.4,-0.143292071105717,-0.154311946026013,3
"84","RandUCB",200,0.5,0.5,0.1,0.5,-0.141723216010361,-0.155151919178412,3
"85","RandUCB",200,0.5,0.5,0.2,0,-0.150766425600372,-0.142928031939682,3
"86","RandUCB",200,0.5,0.5,0.2,0.1,-0.147357430805054,-0.145802881323417,3
"87","RandUCB",200,0.5,0.5,0.2,0.2,-0.150941096577859,-0.144557775352053,3
"88","RandUCB",200,0.5,0.5,0.2,0.3,-0.143184759063313,-0.148661628994753,3
"89","RandUCB",200,0.5,0.5,0.2,0.4,-0.146135695619088,-0.15105552016012,3
"90","RandUCB",200,0.5,0.5,0.2,0.5,-0.143346855463696,-0.155367124097015,3
"91","RandUCB",200,0.5,0.5,0.3,0,-0.148263118674993,-0.144974771026302,3
"92","RandUCB",200,0.5,0.5,0.3,0.1,-0.150471564711381,-0.146319137928054,3
"93","RandUCB",200,0.5,0.5,0.3,0.2,-0.151985722135537,-0.144860247937136,3
"94","RandUCB",200,0.5,0.5,0.3,0.3,-0.148542702828049,-0.148072388314367,3
"95","RandUCB",200,0.5,0.5,0.3,0.4,-0.146529157504857,-0.150111573692617,3
"96","RandUCB",200,0.5,0.5,0.3,0.5,-0.145725065217061,-0.151954783746484,3
"97","RandUCB",200,0.5,0.5,0.4,0,-0.151227687397687,-0.141978498745535,3
"98","RandUCB",200,0.5,0.5,0.4,0.1,-0.155098916799388,-0.141347002494074,3
"99","RandUCB",200,0.5,0.5,0.4,0.2,-0.148704222323409,-0.150298818588526,3
"100","RandUCB",200,0.5,0.5,0.4,0.3,-0.150980008742996,-0.146691828540797,3
"101","RandUCB",200,0.5,0.5,0.4,0.4,-0.151404218872556,-0.14762327484925,3
"102","RandUCB",200,0.5,0.5,0.4,0.5,-0.146543802989869,-0.155107921637853,3
"103","RandUCB",200,0.5,0.5,0.5,0,-0.154613398078494,-0.139479017920597,3
"104","RandUCB",200,0.5,0.5,0.5,0.1,-0.156872869195567,-0.141387590210153,3
"105","RandUCB",200,0.5,0.5,0.5,0.2,-0.153156535430657,-0.142752084272153,3
"106","RandUCB",200,0.5,0.5,0.5,0.3,-0.148380143732102,-0.148742317127342,3
"107","RandUCB",200,0.5,0.5,0.5,0.4,-0.154768805785115,-0.148078756919738,3
"108","RandUCB",200,0.5,0.5,0.5,0.5,-0.146887411684089,-0.149832574272085,3
"109","RandUCB",200,0.7,0.7,0,0,-0.203084923835103,-0.203471899614566,4
"110","RandUCB",200,0.7,0.7,0,0.1,-0.204455562741868,-0.208935712529194,4
