"","method","Nt","p0","p1","miss0","miss1","ONS","ONS_se","scenario"
"81","RPW",200,0.5,0.5,0.1,0.2,85.0643,6.99776124029947,3
"82","RPW",200,0.5,0.5,0.1,0.3,80.0027,7.06568362570175,3
"83","RPW",200,0.5,0.5,0.1,0.4,75.0337,7.20610554361443,3
"84","RPW",200,0.5,0.5,0.1,0.5,69.8828,7.4933089571906,3
"85","RPW",200,0.5,0.5,0.2,0,89.9583,7.15029186658683,3
"86","RPW",200,0.5,0.5,0.2,0.1,85.0556,7.00088636395336,3
"87","RPW",200,0.5,0.5,0.2,0.2,79.945,6.90325578941194,3
"88","RPW",200,0.5,0.5,0.2,0.3,74.9518,6.88300910513956,3
"89","RPW",200,0.5,0.5,0.2,0.4,70.0483,6.94843832738832,3
"90","RPW",200,0.5,0.5,0.2,0.5,64.8711,7.02339074747797,3
"91","RPW",200,0.5,0.5,0.3,0,84.9251,7.25516048929123,3
"92","RPW",200,0.5,0.5,0.3,0.1,79.9203,7.00470231312149,3
"93","RPW",200,0.5,0.5,0.3,0.2,74.858,6.84253739717973,3
"94","RPW",200,0.5,0.5,0.3,0.3,69.9461,6.72762371733796,3
"95","RPW",200,0.5,0.5,0.3,0.4,65.043,6.67657162478364,3
"96","RPW",200,0.5,0.5,0.3,0.5,60.0272,6.62628485088685,3
"97","RPW",200,0.5,0.5,0.4,0,79.8922,7.4443213896295,3
"98","RPW",200,0.5,0.5,0.4,0.1,74.9259,7.18971337313518,3
"99","RPW",200,0.5,0.5,0.4,0.2,70.0734,6.90890626210646,3
"100","RPW",200,0.5,0.5,0.4,0.3,64.9821,6.65336052763046,3
"101","RPW",200,0.5,0.5,0.4,0.4,60.0218,6.52429163956822,3
"102","RPW",200,0.5,0.5,0.4,0.5,55.0141,6.44498680956738,3
"103","RPW",200,0.5,0.5,0.5,0,74.8824,7.85043522190441,3
"104","RPW",200,0.5,0.5,0.5,0.1,69.919,7.35047222593178,3
"105","RPW",200,0.5,0.5,0.5,0.2,64.8484,7.07194589076219,3
"106","RPW",200,0.5,0.5,0.5,0.3,59.8866,6.68740701477472,3
"107","RPW",200,0.5,0.5,0.5,0.4,55.0454,6.47917717103656,3
"108","RPW",200,0.5,0.5,0.5,0.5,50.0374,6.11664471538583,3
"109","RPW",200,0.7,0.7,0,0,139.9595,6.54620080844626,4
"110","RPW",200,0.7,0.7,0,0.1,133.1288,6.76112282377593,4
"111","RPW",200,0.7,0.7,0,0.2,126.733,7.29091398541186,4
"112","RPW",200,0.7,0.7,0,0.3,120.66,8.1938949219159,4
"113","RPW",200,0.7,0.7,0,0.4,115.453,8.97955757514949,4
"114","RPW",200,0.7,0.7,0,0.5,110.3253,9.92103435143031,4
"115","RPW",200,0.7,0.7,0.1,0,133.1449,6.80108296251018,4
"116","RPW",200,0.7,0.7,0.1,0.1,125.9978,6.86174201718128,4
"117","RPW",200,0.7,0.7,0.1,0.2,119.201,6.9722923264898,4
"118","RPW",200,0.7,0.7,0.1,0.3,112.7949,7.63322085335277,4
"119","RPW",200,0.7,0.7,0.1,0.4,106.9926,8.27320916204733,4
"120","RPW",200,0.7,0.7,0.1,0.5,101.7111,9.15905156730549,4
"121","RPW",200,0.7,0.7,0.2,0,126.853,7.49014026705255,4
"122","RPW",200,0.7,0.7,0.2,0.1,119.3102,7.02148887990354,4
"123","RPW",200,0.7,0.7,0.2,0.2,112.0683,7.0638958778069,4
"124","RPW",200,0.7,0.7,0.2,0.3,105.4163,7.24058263634159,4
"125","RPW",200,0.7,0.7,0.2,0.4,98.9818,7.64985756678379,4
"126","RPW",200,0.7,0.7,0.2,0.5,93.2897,8.34380823267064,4
"127","RPW",200,0.7,0.7,0.3,0,121.0301,8.13529423507405,4
"128","RPW",200,0.7,0.7,0.3,0.1,112.9147,7.62698111929611,4
"129","RPW",200,0.7,0.7,0.3,0.2,105.0954,7.19423898320418,4
"130","RPW",200,0.7,0.7,0.3,0.3,98.0427,7.05456259418963,4
"131","RPW",200,0.7,0.7,0.3,0.4,91.2882,7.17386138622143,4
"132","RPW",200,0.7,0.7,0.3,0.5,85.0452,7.54500163452378,4
"133","RPW",200,0.7,0.7,0.4,0,115.4101,8.96361269942329,4
"134","RPW",200,0.7,0.7,0.4,0.1,106.9315,8.29030039612955,4
"135","RPW",200,0.7,0.7,0.4,0.2,98.941,7.7347981040342,4
"136","RPW",200,0.7,0.7,0.4,0.3,91.324,7.15479860752987,4
"137","RPW",200,0.7,0.7,0.4,0.4,84.0338,7.00707981093035,4
"138","RPW",200,0.7,0.7,0.4,0.5,77.3766,6.9701385009964,4
"139","RPW",200,0.7,0.7,0.5,0,110.381,9.92653477348772,4
"140","RPW",200,0.7,0.7,0.5,0.1,101.6955,9.1468107100025,4
"141","RPW",200,0.7,0.7,0.5,0.2,93.278,8.32251418888802,4
"142","RPW",200,0.7,0.7,0.5,0.3,85.018,7.68553073888029,4
"143","RPW",200,0.7,0.7,0.5,0.4,77.1455,7.06105626670402,4
"144","RPW",200,0.7,0.7,0.5,0.5,69.9081,6.77185648061293,4
"145","RPW",200,0.9,0.9,0,0,179.9455,4.2496747785651,5
"146","RPW",200,0.9,0.9,0,0.1,171.74,5.9446895573607,5
"147","RPW",200,0.9,0.9,0,0.2,165.0638,8.2614135991043,5
"148","RPW",200,0.9,0.9,0,0.3,160.2526,10.5819842694604,5
"149","RPW",200,0.9,0.9,0,0.4,156.8542,12.3912346693,5
"150","RPW",200,0.9,0.9,0,0.5,155.1255,13.5922119087534,5
"151","RPW",200,0.9,0.9,0.1,0,171.7181,5.89760210263935,5
"152","RPW",200,0.9,0.9,0.1,0.1,162.0318,5.54103411520869,5
"153","RPW",200,0.9,0.9,0.1,0.2,153.7966,6.74914687485417,5
"154","RPW",200,0.9,0.9,0.1,0.3,147.4699,8.83457406782557,5
"155","RPW",200,0.9,0.9,0.1,0.4,142.8721,11.1214886746799,5
"156","RPW",200,0.9,0.9,0.1,0.5,139.9821,12.4691991596401,5
"157","RPW",200,0.9,0.9,0.2,0,165.0874,8.34059457063939,5
"158","RPW",200,0.9,0.9,0.2,0.1,153.8242,6.77906261432898,5
"159","RPW",200,0.9,0.9,0.2,0.2,143.994,6.36631895224392,5
"160","RPW",200,0.9,0.9,0.2,0.3,135.8122,7.47591600354159,5
"161","RPW",200,0.9,0.9,0.2,0.4,129.8347,9.3467166438917,5
"162","RPW",200,0.9,0.9,0.2,0.5,125.7032,11.1866538286651,5
"163","RPW",200,0.9,0.9,0.3,0,160.2894,10.6891848850766,5
"164","RPW",200,0.9,0.9,0.3,0.1,147.4882,8.90696324003956,5
"165","RPW",200,0.9,0.9,0.3,0.2,135.7885,7.40905237906411,5
"166","RPW",200,0.9,0.9,0.3,0.3,126.007,6.78965101725366,5
"167","RPW",200,0.9,0.9,0.3,0.4,118.1101,7.64921100721527,5
"168","RPW",200,0.9,0.9,0.3,0.5,112.0292,9.57327071126745,5
"169","RPW",200,0.9,0.9,0.4,0,156.7582,12.5675187293555,5
"170","RPW",200,0.9,0.9,0.4,0.1,142.7532,11.1012347737245,5
"171","RPW",200,0.9,0.9,0.4,0.2,129.9943,9.42090987454431,5
"172","RPW",200,0.9,0.9,0.4,0.3,118.0514,7.83509393113388,5
"173","RPW",200,0.9,0.9,0.4,0.4,107.9849,7.06909252994468,5
"174","RPW",200,0.9,0.9,0.4,0.5,100.1822,7.90228117474799,5
"175","RPW",200,0.9,0.9,0.5,0,155.333,13.3983380516486,5
"176","RPW",200,0.9,0.9,0.5,0.1,140.0712,12.5579019207057,5
"177","RPW",200,0.9,0.9,0.5,0.2,125.7081,11.1321465521563,5
"178","RPW",200,0.9,0.9,0.5,0.3,112.3093,9.53579187286847,5
"179","RPW",200,0.9,0.9,0.5,0.4,100.1949,7.86267741673382,5
"180","RPW",200,0.9,0.9,0.5,0.5,89.9318,6.97227437935442,5
"181","RPW",526,0.1,0.2,0,0,80.5069,8.34810885663024,6
"182","RPW",526,0.1,0.2,0,0.1,75.1847,8.15166430080921,6
"183","RPW",526,0.1,0.2,0,0.2,69.9608,7.81783699097914,6
"184","RPW",526,0.1,0.2,0,0.3,64.4149,7.57081829916502,6
"185","RPW",526,0.1,0.2,0,0.4,58.8155,7.19262352228402,6
"186","RPW",526,0.1,0.2,0,0.5,52.6166,6.91512735519989,6
"187","RPW",526,0.1,0.2,0.1,0,77.3093,8.22874259716957,6
"188","RPW",526,0.1,0.2,0.1,0.1,72.4223,8.04278753624235,6
"189","RPW",526,0.1,0.2,0.1,0.2,67.0976,7.78396642164683,6
"190","RPW",526,0.1,0.2,0.1,0.3,61.9316,7.48415143434907,6
"191","RPW",526,0.1,0.2,0.1,0.4,56.2883,7.11269584294277,6
"192","RPW",526,0.1,0.2,0.1,0.5,50.3251,6.67786413285997,6
"193","RPW",526,0.1,0.2,0.2,0,73.9712,8.15212955500759,6
"194","RPW",526,0.1,0.2,0.2,0.1,69.2943,7.95042190269441,6
"195","RPW",526,0.1,0.2,0.2,0.2,64.3909,7.57249175985985,6
"196","RPW",526,0.1,0.2,0.2,0.3,59.3347,7.31659956352111,6
"197","RPW",526,0.1,0.2,0.2,0.4,53.8669,7.06062105108061,6
"198","RPW",526,0.1,0.2,0.2,0.5,48.1276,6.58448584062404,6
"199","RPW",526,0.1,0.2,0.3,0,70.5013,7.97829327778583,6
"200","RPW",526,0.1,0.2,0.3,0.1,65.8679,7.74846136051188,6
"201","RPW",526,0.1,0.2,0.3,0.2,61.3062,7.51271493193804,6
"202","RPW",526,0.1,0.2,0.3,0.3,56.3771,7.35040804580562,6
"203","RPW",526,0.1,0.2,0.3,0.4,51.2213,6.90123822360175,6
"204","RPW",526,0.1,0.2,0.3,0.5,45.7143,6.4714498743595,6
"205","RPW",526,0.1,0.2,0.4,0,66.7865,7.98079488890085,6
"206","RPW",526,0.1,0.2,0.4,0.1,62.4185,7.60242970659673,6
"207","RPW",526,0.1,0.2,0.4,0.2,57.8522,7.39970477269683,6
"208","RPW",526,0.1,0.2,0.4,0.3,53.2228,7.01138189714487,6
"209","RPW",526,0.1,0.2,0.4,0.4,48.1532,6.76859742864909,6
"210","RPW",526,0.1,0.2,0.4,0.5,43.0874,6.35963880582648,6
"211","RPW",526,0.1,0.2,0.5,0,62.4971,7.82957992629121,6
"212","RPW",526,0.1,0.2,0.5,0.1,58.3951,7.56287747498068,6
"213","RPW",526,0.1,0.2,0.5,0.2,54.0583,7.22805129910948,6
"214","RPW",526,0.1,0.2,0.5,0.3,49.6776,6.98701224229695,6
"215","RPW",526,0.1,0.2,0.5,0.4,45.0378,6.64594523140252,6
"216","RPW",526,0.1,0.2,0.5,0.5,40.1226,6.21039661717464,6
"217","RPW",162,0.1,0.3,0,0,34.5089,5.45001752833015,7
"218","RPW",162,0.1,0.3,0,0.1,31.8643,5.27064165698519,7
"219","RPW",162,0.1,0.3,0,0.2,29.3388,5.02407590446934,7
"220","RPW",162,0.1,0.3,0,0.3,26.8017,4.79759093690571,7
"221","RPW",162,0.1,0.3,0,0.4,24.0011,4.62004689081478,7
"222","RPW",162,0.1,0.3,0,0.5,21.3118,4.35721003486506,7
"223","RPW",162,0.1,0.3,0.1,0,33.3218,5.39313947115551,7
"224","RPW",162,0.1,0.3,0.1,0.1,30.9773,5.22912220950211,7
"225","RPW",162,0.1,0.3,0.1,0.2,28.522,4.99223479424036,7
"226","RPW",162,0.1,0.3,0.1,0.3,25.9214,4.79736631000294,7
"227","RPW",162,0.1,0.3,0.1,0.4,23.2679,4.58041784259485,7
"228","RPW",162,0.1,0.3,0.1,0.5,20.5787,4.31354459542239,7
"229","RPW",162,0.1,0.3,0.2,0,32.1786,5.42123980507249,7
"230","RPW",162,0.1,0.3,0.2,0.1,29.9346,5.31079497762147,7
"231","RPW",162,0.1,0.3,0.2,0.2,27.4849,4.99980717599986,7
"232","RPW",162,0.1,0.3,0.2,0.3,25.0987,4.79037087033014,7
"233","RPW",162,0.1,0.3,0.2,0.4,22.4874,4.50950937547321,7
"234","RPW",162,0.1,0.3,0.2,0.5,19.8157,4.23012090870819,7
"235","RPW",162,0.1,0.3,0.3,0,31.0552,5.44186680757947,7
"236","RPW",162,0.1,0.3,0.3,0.1,28.8282,5.17360235968494,7
"237","RPW",162,0.1,0.3,0.3,0.2,26.445,4.9423089383166,7
"238","RPW",162,0.1,0.3,0.3,0.3,24.0484,4.73728842589967,7
"239","RPW",162,0.1,0.3,0.3,0.4,21.6102,4.46285196536547,7
"240","RPW",162,0.1,0.3,0.3,0.5,19.0437,4.23045860256294,7
"241","RPW",162,0.1,0.3,0.4,0,29.7925,5.44617387079986,7
"242","RPW",162,0.1,0.3,0.4,0.1,27.5701,5.22597522685548,7
"243","RPW",162,0.1,0.3,0.4,0.2,25.3005,4.97980718481748,7
"244","RPW",162,0.1,0.3,0.4,0.3,23.0063,4.69753839757587,7
"245","RPW",162,0.1,0.3,0.4,0.4,20.6146,4.42423148381979,7
"246","RPW",162,0.1,0.3,0.4,0.5,18.1274,4.13877786166627,7
"247","RPW",162,0.1,0.3,0.5,0,28.367,5.37391839348999,7
"248","RPW",162,0.1,0.3,0.5,0.1,26.2652,5.21021915070372,7
"249","RPW",162,0.1,0.3,0.5,0.2,24.0493,4.93093306789821,7
"250","RPW",162,0.1,0.3,0.5,0.3,21.8054,4.65436323783554,7
"251","RPW",162,0.1,0.3,0.5,0.4,19.5815,4.42451301066435,7
"252","RPW",162,0.1,0.3,0.5,0.5,17.1503,4.05489261576833,7
"253","RPW",82,0.1,0.4,0,0,22.8546,4.4834215669391,8
"254","RPW",82,0.1,0.4,0,0.1,20.9545,4.23733704731229,8
"255","RPW",82,0.1,0.4,0,0.2,19.2676,4.07851120696836,8
"256","RPW",82,0.1,0.4,0,0.3,17.4168,3.84878670179416,8
"257","RPW",82,0.1,0.4,0,0.4,15.5136,3.61169205109561,8
"258","RPW",82,0.1,0.4,0,0.5,13.5034,3.42577904077359,8
"259","RPW",82,0.1,0.4,0.1,0,22.3733,4.46966944018128,8
"260","RPW",82,0.1,0.4,0.1,0.1,20.5978,4.32130796521759,8
"261","RPW",82,0.1,0.4,0.1,0.2,18.7651,4.04654907865265,8
"262","RPW",82,0.1,0.4,0.1,0.3,16.9784,3.88170583687384,8
"263","RPW",82,0.1,0.4,0.1,0.4,15.0682,3.63415319805683,8
"264","RPW",82,0.1,0.4,0.1,0.5,13.1282,3.37539687894758,8
"265","RPW",82,0.1,0.4,0.2,0,21.819,4.44130741124189,8
"266","RPW",82,0.1,0.4,0.2,0.1,19.9642,4.22162297819891,8
"267","RPW",82,0.1,0.4,0.2,0.2,18.1721,4.03553096147386,8
"268","RPW",82,0.1,0.4,0.2,0.3,16.4913,3.92505603991735,8
"269","RPW",82,0.1,0.4,0.2,0.4,14.6416,3.63885607950586,8
"270","RPW",82,0.1,0.4,0.2,0.5,12.7713,3.3829780909838,8
"271","RPW",82,0.1,0.4,0.3,0,21.108,4.51226905860075,8
"272","RPW",82,0.1,0.4,0.3,0.1,19.3599,4.35668108277456,8
"273","RPW",82,0.1,0.4,0.3,0.2,17.7237,4.10780302772315,8
"274","RPW",82,0.1,0.4,0.3,0.3,15.96,3.93570184019286,8
"275","RPW",82,0.1,0.4,0.3,0.4,14.2014,3.61537620926418,8
"276","RPW",82,0.1,0.4,0.3,0.5,12.3376,3.36234394071718,8
"277","RPW",82,0.1,0.4,0.4,0,20.3876,4.57192043737077,8
"278","RPW",82,0.1,0.4,0.4,0.1,18.731,4.32140098239507,8
"279","RPW",82,0.1,0.4,0.4,0.2,17.1025,4.12144299720837,8
"280","RPW",82,0.1,0.4,0.4,0.3,15.4338,3.80991720473171,8
"281","RPW",82,0.1,0.4,0.4,0.4,13.6712,3.67271554084228,8
"282","RPW",82,0.1,0.4,0.4,0.5,11.7848,3.35970500517116,8
"283","RPW",82,0.1,0.4,0.5,0,19.665,4.62228423521911,8
"284","RPW",82,0.1,0.4,0.5,0.1,18.1274,4.39457625602822,8
"285","RPW",82,0.1,0.4,0.5,0.2,16.5024,4.17376763531792,8
"286","RPW",82,0.1,0.4,0.5,0.3,14.8,3.94379960894764,8
"287","RPW",82,0.1,0.4,0.5,0.4,13.1458,3.62450769975821,8
"288","RPW",82,0.1,0.4,0.5,0.5,11.3487,3.31894709975695,8
"289","RPW",254,0.4,0.6,0,0,132.01,8.46736497541961,9
"290","RPW",254,0.4,0.6,0,0.1,122.7442,8.21586979032903,9
"291","RPW",254,0.4,0.6,0,0.2,113.7375,8.01583552176011,9
"292","RPW",254,0.4,0.6,0,0.3,104.6992,7.8431416439514,9
"293","RPW",254,0.4,0.6,0,0.4,95.4534,7.80623610789587,9
"294","RPW",254,0.4,0.6,0,0.5,86.4886,7.59775247189999,9
"295","RPW",254,0.4,0.6,0.1,0,127.6908,8.62480342288497,9
"296","RPW",254,0.4,0.6,0.1,0.1,118.6066,8.4936712136195,9
"297","RPW",254,0.4,0.6,0.1,0.2,109.666,8.19896129376336,9
"298","RPW",254,0.4,0.6,0.1,0.3,100.5833,7.91567602310063,9
"299","RPW",254,0.4,0.6,0.1,0.4,91.5671,7.6393280806202,9
"300","RPW",254,0.4,0.6,0.1,0.5,82.3753,7.42139863002673,9
"301","RPW",254,0.4,0.6,0.2,0,123.4598,8.96449776518563,9
"302","RPW",254,0.4,0.6,0.2,0.1,114.55,8.56246644274641,9
"303","RPW",254,0.4,0.6,0.2,0.2,105.4314,8.23579242499996,9
"304","RPW",254,0.4,0.6,0.2,0.3,96.2551,7.94022220739888,9
"305","RPW",254,0.4,0.6,0.2,0.4,87.2619,7.61702765526226,9
"306","RPW",254,0.4,0.6,0.2,0.5,78.1875,7.35714322992631,9
"307","RPW",254,0.4,0.6,0.3,0,119.3356,9.32215977691278,9
"308","RPW",254,0.4,0.6,0.3,0.1,110.2285,8.90221392077662,9
"309","RPW",254,0.4,0.6,0.3,0.2,101.2072,8.56281497756631,9
"310","RPW",254,0.4,0.6,0.3,0.3,92.2704,8.10397749781726,9
"311","RPW",254,0.4,0.6,0.3,0.4,83.103,7.5729998040805,9
"312","RPW",254,0.4,0.6,0.3,0.5,74.1246,7.26193833730647,9
"313","RPW",254,0.4,0.6,0.4,0,115.3166,9.68520236001682,9
"314","RPW",254,0.4,0.6,0.4,0.1,106.2235,9.17546547411447,9
"315","RPW",254,0.4,0.6,0.4,0.2,97.1307,8.81229726962935,9
"316","RPW",254,0.4,0.6,0.4,0.3,88.0832,8.23225696668153,9
"317","RPW",254,0.4,0.6,0.4,0.4,79.0239,7.70295153407015,9
"318","RPW",254,0.4,0.6,0.4,0.5,70.046,7.15284560996755,9
"319","RPW",254,0.4,0.6,0.5,0,111.034,10.2488900850188,9
"320","RPW",254,0.4,0.6,0.5,0.1,101.6852,9.64262407127323,9
"321","RPW",254,0.4,0.6,0.5,0.2,93.0059,9.12275110088864,9
"322","RPW",254,0.4,0.6,0.5,0.3,83.9217,8.55436069023757,9
"323","RPW",254,0.4,0.6,0.5,0.4,74.9686,7.86431171685596,9
"324","RPW",254,0.4,0.6,0.5,0.5,65.8145,7.3752782471526,9
"325","RPW",82,0.6,0.9,0,0,66.8007,4.49063426362123,10
"326","RPW",82,0.6,0.9,0,0.1,61.2064,4.37295224203639,10
"327","RPW",82,0.6,0.9,0,0.2,55.8447,4.36924374910509,10
"328","RPW",82,0.6,0.9,0,0.3,50.7687,4.37192311016195,10
"329","RPW",82,0.6,0.9,0,0.4,46.048,4.61530346809506,10
"330","RPW",82,0.6,0.9,0,0.5,41.6223,5.0499299885532,10
"331","RPW",82,0.6,0.9,0.1,0,65.6857,4.92533667926776,10
"332","RPW",82,0.6,0.9,0.1,0.1,59.9834,4.78474804157775,10
"333","RPW",82,0.6,0.9,0.1,0.2,54.5002,4.61756777462067,10
